ID,Start time,Completion time,Email,Do you consent to participating in this study?,Please provide today's date,Which of these do you identify as?,How old are you?,What country are you from?,"How often do you watch movies or TV shows?
","How often do you play video games?
","Is the way in which women are represented in media something you find important?
",Were you aware of or used the Bechdel test before this survey? Using it could include searching online if a movie passes the Bechdel.,"Using the above definition of the Bechdel test, do you feel it to be a good test for how well women are represented in films and TV?
","Regardless of how you answered the question above, do you have any comments regarding the effectiveness of the Bechdel test?","In your view would any of the following, or other additions/modifications improve the Bechdel test?
- Minimum conversation length
- Specifying conversation topics
- Criteria regarding actor appear...","Regardless of how you answered the question above, do you have any comments regarding additions/improvements to the Bechdel test, or have any in mind?","Can you name examples of movies or TV shows you feel well represent women, and how they do that?","Can you name examples of video games you feel well represent women, and how they do that?","Some people argue that the ""strength"" of a female character's representation is tied to specific traits, which can differ between individual interpretations of what ""strong"" means. Is this a state...","Do you have any comments on Question 17 above? If you wish to give traits that add or detract from a ""strong"" female character you'll be asked to list them separately in Questions 19 and 20 below.","Could you list any traits you believe contribute to a ""strong"" female character?","Could you list any traits you believe detract from a female character being ""strong""?","Some people say that the historical accuracy/context of a film can justify a lack of representation, for example World War 2 films set on the front lines where predominately men fought.
Is this a ...",Do you have any comments on your answer to Question 21 above?,"Some long-standing characters have had their representation changed over time to become less stereotypical, such as Samus Aran from the Metroid games as seen below (Lara Croft from the Tomb Raider...","Regardless of how you answered Question 23 above, do you have any comments about your answer?","When watching a film or TV show, what components of the narrative play a role in how characters are represented?
","When watching a film or TV show, what components of the characters play a role in how they are represented?","When playing a video game, what components of the narrative play a role in how characters are represented?
","When playing a video game, what components of the characters play a role in how they are represented?
","When playing a video game, what components of the gameplay play a role in how characters are represented?",How would you personally assess the representation of female characters in a video game?
5,11/8/22 13:26:14,11/8/22 13:44:51,anonymous,Yes,11/8/2022,Woman,23-27,United Kingdom,At least once a week,At least once a day,Moderately important,No,No,The criteria appear very minimalistic. ,Yes,,Star Trek - women characters (eg. Lt Uhura) are strong and independane as well as vital to the plot line and crew. ,Tomb Raider - main character is a woman and an absolute badass. ,Yes,sometimes it is believed that a woman has to resemble a man to appear strong (eg cutting her hair short or wearing masculine clothes),"wit, intelligence, independance ",,Historical accuracy/context can justify a lack of representation in some instances,"if a historical movie is trying to accurately recreate a historical period, in my opinion that is more important",Yes,Characters like people should have the ability to evolve and grow. ,"immense: through narrative and acting we learn a lot about a character and try to emphasize with. In my opinion, the amount they say and the impact of what they say on the audience or the events could also show the strength that the character possesses. ","appearance (outfit and hair), manners and behaviour (do they submit to others or do others submit to them). Music (when a character has their own theme music it can be really impactful) ","less compared to tv, here quality over quantity. ","their abilities and skills, appearance, and interactions with other characters. ",,
8,11/22/22 13:01:35,11/22/22 13:15:58,anonymous,Yes,11/22/2022,Man,18 - 23,Romania,At least once a week,At least once a day,Quite important,No,No,Too narrow - it needs to be broader and focus on the types of women presented and what they do,Yes,-,Motherland - represents the woes of female (and family) life well,Lara Croft - good stereotype of a heroic woman?,Yes,See below traits.,"Morality, psychological ability.",-,Historical accuracy/context can justify a lack of representation in some instances,"There are examples of historically important women, so it can't always be justified.",Yes,"It heavily hinges on opinion, but generally, it can be changed although there is always a discussion of sexuality and how much that can impact views.","Context, mostly.",Individual features and actions.,"Again, mostly context, but also actions and the outcome of these actions.",Features and their actions.,"What roles the characters may be assigned to, what they have to do to progress, character development sections etc.","Based on context, actions, morality and the outcome."
9,11/22/22 13:03:39,11/22/22 14:29:18,anonymous,Yes,11/22/2022,Man,24-29,United Kingdom,At least once a week,At least once a day,Very important,"Yes, I have heard of it before",Yes,"It's clearly not a wholly accurate measure of representation of women, but it provides a good starting point to decide if a peice of media is worth looking at closer",No,"The problems with ""improving"" the Bechdel test is the entire point is to be as simple as possible, so any real improvements defeat that initial benefit, creating a separate test that continues on asking deeper questions would be more beneficial than modifying ","Jessica Jones main cast includes several women with complex stories outside the main plot, Murials wedding is the exploration of the friendship of two women, Erin brokovich","The outer world's has a diverse well written cast of characters, resident evil, cyberpunk has clear characters that don't compromise their beliefs for the main character ",Yes,,"Independence, complex realistic personality, uncompromising beliefs, rational thought","One dimensional, weak willed",Historical accuracy/context can justify a lack of representation in some instances,I think that as games are a form of art it is at the discretion of developers to decide how accurate/representative their game is,Yes,,"How conflict is created and resolved says a huge amount bout characters, contrived petty grievance created to progress a plot can cause characters involved to seem lazy or stupid, even when that is not the intention",Everything from wardrobe choice to how they speak and what choices they make change how a character is perceived,"The factions the character support, alignment compared to the player","Choices made, dialog, how prevalent they are",Very little,"I don't play many games with characters as such, and when I do I usually don't assess how well women are represented, however I do find myself drawn to character driven games with strong female characters, I think usually because the writing is better in games that consider representation and try to write better characters "
10,11/22/22 15:43:53,11/22/22 16:34:21,anonymous,Yes,11/22/2022,Man,36-41,Croatia,At least once a year,At least once a day,Quite important,"Yes, I have heard of and used it before",No,"The test seems good at first glance, but then movies which often serve as an example of having great female characters (e.g.  Alien) can still fail it.",Other (please clarify in Question 14 below),"Neither of those would help Alien pass, as Ellen Ripley is the only female character in the movie. The Bechdel test is way too simplistic and does not consider what a piece of media is doing in its entirety.",Alien portrays a resourceful woman; Buffy the Vampire Slayer has a lot of women presented as complex personalities; women in The Walking Dead are generally well presented,"Super Metroid with its ""shocking"" reveal at the end; Horizon Zero Dawn with its great main character; basically any RPG where the player can create their own character as they allow the player to build a female character they want to see; Slay the Spire where lore-wise most of the characters are women, and players don't ven realize it since it does not matter at all.",No,"A good character is a good character. You want to see a relatable and believable person. The gender of the character does not really play into whether they are a strong character or not. Unfortunately, female charactrs are often not fleshed out well, but that has nothing to do with traits.",See the answer to Q18.,See the answer to Q18.,Historical accuracy/context can justify a lack of representation in some instances,"Depends of what the movie is trying to achieve. Historical or cultural accuracy can be important for the story being told. Still, even the author of this questionaire has their history a bit wrong. There were many women in the People's Liberation Army of Yugoslavia, for example; many of them higly decorated. The point is, is it hisorical accuracy or faithfulness to the public perception of history that's being aimed for?y",Yes,A representation of any character is going to change as the culture changes. Nothing strange about that.,The setting and the perspective of the narration,How well-developed their personality is as a character. Can the viewer empathize with the character?,"Depends on how much narrative there is. For RPGs, it's the same as with film and TV. On the other hand, in a side-scrolling platformer (e.g., Super Mario) there is really no narrative to speak of.",Same as Q27.,"The genre, and the ability of the player to make meaningful choices.","In which one? Does it make any sense to attempt coming up with assesment criteria that would cover Dragon Age: Origins, Civilization series, Age of Empires, Portal, Hollow Knight, Final Fantasy, Slay the Spire, and Storybook Brawl all at the same time? Honestly, I think the answer is no."
11,11/24/22 8:59:26,11/24/22 10:14:48,anonymous,Yes,11/24/2022,Genderfluid between non-binary and male,18 - 23,United Kingdom,At least once a day,At least once a day,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"It fails to take into account films and shows where the protagonist is a woman, in a world with no characters apart from her. I.e, like being stranded on a distant planet.",Other (please clarify in Question 14 below),"Ratio of women to men conversation is more important than length of conversation. Clothing should fit the situation, but it should not just be designed to accentuate her femininity, it should have practical purpose.","Every woman in The Expanse - Huge range of women in many different situations but they are all realistic, strong and powerful in different ways. A strong woman is more than just physically strong or highly intelligent, The Expanse captures that. ","Ellie from The Last of Us franchise, Alloy from the Horizon franchise, Edelgard from Fire Emblem: Three Houses. They are all survivors, and especially in Ellie and Edelgard you witness their growth and development. Strong women do not need to be perfect women, and many characters people would call “Mary Sue”s are not.",Yes,,"Ability to be independent, determined, comfortable with themselves, is not afraid to embrace their emotions.","Reliance on others for no reasonable reason, this distinction is important because disabled characters may need assistance but they are not any less “strong”. ",Historical accuracy/context can justify a lack of representation in some instances,"Using the WW2 example, there’s plenty of films like that, so in this situation a different tale should be told. Why not do a tale on the women fighter pilots, or underground operatives instead for example. Additionally we are dealing with a tale, historical accuracy and creative freedom are not dependent on each other, for instances such as Peggy Carter from Marvel does not change the era that they are set in.",Yes,,"Where & when is it set, how long is this character’s tale, what purpose is there to telling this tale.","What do these characters teach us through their actions (good or bad), are the characters authentic to who they are representing, can you predict the character’s actions because they are fully fleshed out and thus like a real person.","Is the narrative challenging to both the characters and the player. Is the narrative imaginative and does it either execute tropes to their fullest, or is it original.","Can you see yourself in the characters, if not, can you understand the characters motivations. A wide range of personalities, no character can be everything at all times.",Being able to play characters of different backgrounds and that they’re not just a skin on a blank model. ,"Its never been better, and there are many different games of different genres with excellent female representation. Games I have not mentioned such as Control, Little Nightmares, and Bayonetta are all great examples if this."
12,11/24/22 15:19:43,11/24/22 15:43:10,anonymous,Yes,11/24/2022,Man,36-41,United Kingdom,At least once a week,At least once a month,Quite important,"Yes, I have heard of it before",No,It is a very basic test and does nothing to consider whether women are portrayed in a stereotypical negative light (e.g. a woman sex worker coming to harm).,Yes,Conversation length needs to be proportionate to the overall duration of the programme. Also in context of the communication method for example text messaging.,"The Good Wife, The Good Fight. Numerous women in lead roles, plenty of conversations between them and others. The women are portrayed as real people with outsourced and negative traits.",No real good examples off the top of my head. Not really relevant to the genre of games I play.,Yes,,"Physical and mentally strong, emotionally resilient. Not vulnerable to exterior pressure.",,Historical accuracy/context can justify a lack of representation in some instances,,Yes,Understanding that more and more women play computer games and are just as invested in gaming as men. Women are more likely to be looking for a character that is more like themselves and they can identify with rather than a character that they just find attractive.,,,,,,"I'm games that I tend to play, I get to select the race, species and/or gender of the character. I also play a lot of sci-fi style games where aliens are not always clearly gender assigned."
13,11/24/22 15:33:34,11/24/22 15:52:55,anonymous,Yes,12/1/2022,Woman,36-41,United Kingdom,At least once a day,At least once a day,Very important,"Yes, I have heard of and used it before",Yes,The test was almost a joke at first but does make sense as a way of gauging female representation. I think it's good if the women have names. And there are works which have good female representation which don't pass the test. It's a sin might not pass but it shows women as fully human. ,Yes,Characters having names. Talking about things that show they are fully human and not objectified tropes. ,Dr who - characters are fully human with interests and passions. ,"Hellblade: senua's sacrifice (female central character), the last of us (again, female central character). Both encourage empathy with a female protagonist who isn't overly objectified (unlike eg tombraider). And horizon zero dawn is particularly good for this.  ",Other (please clarify in Question 18 below),I think the two parts of the question are in opposition to one another. Do I agree that female strength in video games is tied to specific traits? Possibly. Overcoming trauma comes up quite a bit, ,Relying on others. ,Historical accuracy/context can justify a lack of representation in some instances,There is actual history and then cliche hegemonic history,," There were plenty of women fighting in ww2. 'The womanly face of war' is one resource about this. Whether games should portray this in accurate ways is up for debate. I think it would be good if COD had missions where women were in realistic roles, but if someone uploaded footage to YouTube of them stabbing perfectly nice women soldiers or spies, I would be sad. Same as when the suffragist gets killed in red dead redemption. In general, I like realism but realism can include accurate and respectful representation of minoritised groups",Whether they have a full role to play in driving the plot forward ,"Their appearance, whether they are objectified, their back story and whether it relies on stereotypes. How they connect with other characters. ",Whether they have a full role to play in driving the plot forward,"Their appearance, whether they are objectified, their back story and whether it relies on stereotypes ",How much agency does the character have? Are they able to choose whether to act morally? Can other characters harm them in a way that enacts stereotypes? ,"How they look and if it is objectifying, whether their roles are stereotypical eg are they in the sex industry, or a feminine girlfriend who gets fridge, can they drive the plot forward "
14,11/25/22 9:16:21,11/25/22 11:27:53,anonymous,Yes,11/25/2022,Woman,24-29,Ukraine ,At least once a day,At least once a week,Very important,"Yes, I have heard of and used it before",Yes,,Yes,"The overall statistic weight of the interaction? Technically, a media will pass a test if there’s one interaction between two women drug addicts about drugging children, but it’s still a questionable message if that’s the only interaction women have ","Merlin BBC with Morgana - sure, she is evil, but her motivations are clearly defined and understandable, and she’s a decently well written as a character, but then the show has a whole of three statistically significant women. The Legend of Vox Machina - an animated series, women are portrayed in all ways, shapes, colours, alignments. Brooklyn 99 did a good job too. ","Latest Assassins Creed did decently - except they are cowards and have still not committed to having a woman protagonist, always having an option to change characters gender, so the toxic community doesn’t lash out about them being ‘woke’. Same problem with Cyberpunk 2077, but in reverse. The Last of Us 2 has amazing women characters though from what I’ve glimpsed. Technically tomb raider would fit the criteria - but the protagonist is so heavily sexualised that this technicality hurts. Hades was really good. ",Yes,,"A sense of drive, motivation, intelligence behind the choices - and the ability to make those choices. A strong female character can easily be a housewife - stereotypically weak position and all - but still be skilled in handling difficult situations, in keeping the balance, in being a moving force, if represented and written properly ","A stupid naiveness is a big no for me - a lot of ‘strong’ women characters fall into a ‘born sexy yesterday’ stereotypes and it drives me up the wall, because it’s all about a naive pretty women who live their life ‘wrong’ until a man shows up and show them what’s right ",Historical accuracy/context can never justify a lack of representation,"‘Historical context’ is a consequence of overlooking women in history, especially WW2 - the amount of women snipers?? Women sergeants?? If historical context was actually accurate, there would be women everywhere- discriminated against mostly, but still there. The AIDS crisis?? Women are everywhere, always been everywhere in history, and erasing them is not synonymous of accuracy ",Other (please clarify in Question 24 below),"In theory, yes, but I can hardly think of a good example? Tomb Raider surely isn’t, the entire video game is her backside in tight pants in front of a scenery. It is difficult to say how it can be done - even turning into a robot would not really stop the sexualisation, and it kind of didn’t, the Metroid Dread example still has extremely exaggerated female traits and accents on thighs, waist, and I’m sure there are boobs there somewhere. Actually, maybe one example of it would be Vi and Caitlyn from League of Legends and the way, way, *way* better representation of them in Arcane series. It is, however, overshadowed by a toxic community that decided to sexualise a teenager in that show instead, so you know, you win some you loose some. ","Motivations of individual characters and their role in the overall plot? Do they make a difference to the plot? Technically, the Lord of the Rings doesn’t pass the test, but Eowyn is probably one of the strongest characters in the entire trilogy, and her actions and her presence define the course of the narrative in parts. Katara from Avatar the Last Airbender is also one of the strongest characters ever probably, so is Toph, and they are central to the plot line. On the other hand, Phoebe from Friends is central in the series, but arguably strong as a character within a narrative, at least to me - besides her own story, she hardly impacts the lives for other friends, save for the time she let Rachel live at her place for a while. ","Appearance and clothing is usually key in highlighting elements about characters, and props that immediately surround them. Also things like accents, implying their origin and background. ","Again, their impact on the story - if there’s a story. A lot is down to the dialogue and random lines characters say in the meantime that are used to highlight their experiences. ","Appearance and clothing in default settings gives a good idea about how the characters are expected to be perceived- and the voice acting, though often underestimated, is incredibly influential. Roshan from (not even yet released) Assassins Creed Mirage has shook me to the core, there is a weight and gravitas and force to that voice, and from the trailer it seems to be very fitting to the leadership position she holds - I hope they don’t mess it up, honestly ","Equipment that is clearly male/female coded - we’re talking exclusively finding armoured bra’s if you’re playing a woman. The high-pitched moans of pain when hit - really messed up my Tomb Raider experience. It’s not gameplay probably though. The over the top pink abilities in League of Legends though is very gameplay choice - but then again, it’s a known toxic horrible game ","Relatability, I suppose. But also, since I prefer story-driven games, it’s always about their motivations and drive - I don’t really vibe with ‘saving the love interest’, but I’m very on board with mass murder for the greater good if she swings that way, you know. "
15,11/25/22 15:33:19,11/25/22 15:43:12,anonymous,Yes,11/25/2022,a man baby,18 - 23,United States,At least once a week,At least once a week,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),the number of times I've had a conversation with a women or heard a conversation relating to a scientific or philosophical debate can be counted on one hand. the portrayal of women in movies in videos games prior to 2010 was accurate,Other (please clarify in Question 14 below),why are there so few good games made by women developers? it is because they lack talent?,"alien, sicario, tomb raider 2013 game, basically any movie that hasn't been written by a women with an inferiority complex. there's definitely more but I can't think of them off the top of my head",as above,Yes,"real women, not feminist fantasy tropes, don't complain endlessly about hardship or prejudice. they get on with the task and achieve it to the best of their ability. this is a rare trait nowadays, as most women believe they are royalty to be presented upon a pedestal.",an attitude that revolves around self reliance without resentment of the men around them,"thinking they can manage a situation when they can't, then screwing it up and looking for others to blame",Historical accuracy/context can always justify a lack of representation,lol this is hilarious. yes I'd love to see more women on the battlefield. guess what happens when women get captured by the enemy? there's alot of reasons they shouldn't be there.,No,"no, the triple A games Industry is dying from talentless diversity hires. if women want better representation, they should make their own heroes instead of adopting those of horny adolescents",..,..,..,..,..,..
16,11/26/22 12:55:25,11/26/22 13:41:55,anonymous,Yes,11/26/2022,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Quite important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),I mean it definitely can be used to show discrimination and inequality issues within media. By no means does it tell the full story so it isn't a catch all.,Other (please clarify in Question 14 below),"Yes, context in every way is important. Context is always important in any sort of discussion.","""the Ghostbusters bullshit and the ocean's movie that should never have existed."" I am quoting someone who's represented by the movies. There are problems of trying to wedge female characters in established series, the ideal in my opinion would be where they either make a series around that character and her struggles or if they do add a character to an established series the character needs to be well fleshed out, an example would be the legend of Kora","Fall guys, it doesn't try but it puts you on equal footing, another example is Splatoon. Horizon zero dawn, shows a great strong character. Sea of thieves you can play as my grandma, also old representation.",Other (please clarify in Question 18 below),"Where is the noir female detective down on their luck with an empty bottle in hand, strength seems to differ in what counts as strong between male and female character, this is a broad statement. My point is that strength seems to differ between the sexes in media but I don't know if it is alway a negative. Though the Mary Sue is an unfortunate stereotype. ","I mean She-hulk in the literal sense of muscle. Less literally like for any character, willpower and ability to overcome obstacles using their skills.",Too much strength to trivialise any obstacle.,Historical accuracy/context can always justify a lack of representation,Historical accuracy is important and it can be used to highlight the issues of inequality at the time. You don't need female characters inaccurately portrayed to discuss issues of inequality. ,Yes,"Characters and people in real life can change, it can be a good opportunity to show growth and if done right can deepen the character immensely.",The narrative can be used to show growth and growth of a character is great for people on the outside to relate to the character.,"The base character can be used to represent certain aspects of people in general, this can be used to show the good and the bad which can be a springboard for growth or a good mentor role. It all depends",In video games narrative seems to be taking a back seat for exploration so it is harder to show any sort of representation except in things like side quests. In more narrative games it can be used like in movies but with the person in control empathy can be increased as their struggle was literally yours.,Character plays a stronger role as you are less likely to see growth in side character in a game over a movie so that base character you start with has to represent some group if you want it to. The main characters starting point is even more important as a good game is all about progress and growth.,Little. How a game plays does little to represent the character.,Not great but improving. I think in modern games a strong female character can be found in it but on the other hand the protagonist will rarely be (or become) said character. As mentioned above I do think horizon zero dawn does this well as it does mention how the female character has to act differently to their male counterparts. It shows her overcoming her struggles and eventually becoming great. I do think the whole prophesied one does undermine this but it does add to the story.
